order,futures-1,futures-2,parameter,optimization-start,optimization-end,opt-trading-days,opt-trading-times,profit,max_draw_down
1,DCE.a,CZCE.TA,"{'upper': 1.7, 'up_medium': 0.5}",2021-10-15,2021-12-24,51,5,13368.108000000122,3348.7999999999884
2,DCE.a,CZCE.TA,"{'upper': 1.7, 'up_medium': 0.4}",2021-10-15,2021-12-24,51,5,12177.961000000148,3836.179000000004
3,DCE.a,CZCE.TA,"{'upper': 1.8, 'up_medium': 0.5}",2021-10-15,2021-12-24,51,3,12074.81100000005,3348.7999999999884
4,DCE.a,CZCE.TA,"{'upper': 1.7, 'up_medium': 0.3}",2021-10-15,2021-12-24,51,5,11580.223000000056,5455.679999999993
5,DCE.a,CZCE.TA,"{'upper': 1.8, 'up_medium': 0.4}",2021-10-15,2021-12-24,51,3,11164.748000000069,3836.179000000004
6,DCE.a,CZCE.TA,"{'upper': 1.7, 'up_medium': 0.6}",2021-10-15,2021-12-24,51,5,11038.29700000003,3782.085000000021
7,DCE.a,CZCE.TA,"{'upper': 1.7, 'up_medium': 0.7}",2021-10-15,2021-12-24,51,5,10897.834999999988,3782.085000000021
8,DCE.a,CZCE.TA,"{'upper': 1.8, 'up_medium': 0.3}",2021-10-15,2021-12-24,51,3,10856.845000000016,3945.977999999945
9,DCE.a,CZCE.TA,"{'upper': 1.8, 'up_medium': 0.2}",2021-10-15,2021-12-24,51,3,10337.000999999991,4465.821999999986
10,DCE.a,CZCE.TA,"{'upper': 1.8, 'up_medium': 0.6}",2021-10-15,2021-12-24,51,3,10025.174000000005,3348.7999999999884
11,DCE.a,CZCE.TA,"{'upper': 1.8, 'up_medium': 0.7}",2021-10-15,2021-12-24,51,3,8535.117000000047,3576.256999999983
12,DCE.a,CZCE.TA,"{'upper': 1.8, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,3,4818.062000000056,4036.9349999999977
13,DCE.a,CZCE.TA,"{'upper': 1.8, 'up_medium': 0.8}",2021-10-15,2021-12-24,51,3,3668.323000000062,4036.9349999999977
14,DCE.a,CZCE.TA,"{'upper': 1.7, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,5,1840.9270000000256,5020.008000000031
15,DCE.a,CZCE.TA,"{'upper': 1.7, 'up_medium': 0.8}",2021-10-15,2021-12-24,51,5,691.1880000000315,5020.008000000031
