order,futures-1,futures-2,parameter,optimization-start,optimization-end,opt-trading-days,opt-trading-times,profit,max_draw_down,After-cycle-backtest-start,After-cycle-backtest-end,After-cycle-backtest-trading-days,After-cycle-backtest-trading-times,After-cycle-backtest-profit,After-cycle-backtest-max-draw-down
1,DCE.b,DCE.j,"{'upper': 0.8, 'up_medium': 0.2}",2021-10-15,2021-12-24,51,0,0.0,0.0,2021-12-24,2022-01-28,25,0,0.0,0.0
2,DCE.b,DCE.j,"{'upper': 0.8, 'up_medium': 0.3}",2021-10-15,2021-12-24,51,0,0.0,0.0,2021-12-24,2022-01-28,25,0,0.0,0.0
3,DCE.b,DCE.j,"{'upper': 1.7, 'up_medium': 0.6}",2021-10-15,2021-12-24,51,0,0.0,0.0,2021-12-24,2022-01-28,25,0,0.0,0.0
4,DCE.b,DCE.j,"{'upper': 1.7, 'up_medium': 0.5}",2021-10-15,2021-12-24,51,0,0.0,0.0,2021-12-24,2022-01-28,25,0,0.0,0.0
5,DCE.b,DCE.j,"{'upper': 1.7, 'up_medium': 0.4}",2021-10-15,2021-12-24,51,0,0.0,0.0,2021-12-24,2022-01-28,25,0,0.0,0.0
6,DCE.b,DCE.j,"{'upper': 1.7, 'up_medium': 0.3}",2021-10-15,2021-12-24,51,0,0.0,0.0,2021-12-24,2022-01-28,25,0,0.0,0.0
7,DCE.b,DCE.j,"{'upper': 1.7, 'up_medium': 0.2}",2021-10-15,2021-12-24,51,0,0.0,0.0,2021-12-24,2022-01-28,25,0,0.0,0.0
8,DCE.b,DCE.j,"{'upper': 1.6, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,0,0.0,0.0,2021-12-24,2022-01-28,25,0,0.0,0.0
9,DCE.b,DCE.j,"{'upper': 1.6, 'up_medium': 0.8}",2021-10-15,2021-12-24,51,0,0.0,0.0,2021-12-24,2022-01-28,25,0,0.0,0.0
10,DCE.b,DCE.j,"{'upper': 1.6, 'up_medium': 0.7}",2021-10-15,2021-12-24,51,0,0.0,0.0,2021-12-24,2022-01-28,25,0,0.0,0.0
11,DCE.b,DCE.j,"{'upper': 1.6, 'up_medium': 0.6}",2021-10-15,2021-12-24,51,0,0.0,0.0,2021-12-24,2022-01-28,25,0,0.0,0.0
12,DCE.b,DCE.j,"{'upper': 1.6, 'up_medium': 0.5}",2021-10-15,2021-12-24,51,0,0.0,0.0,2021-12-24,2022-01-28,25,0,0.0,0.0
13,DCE.b,DCE.j,"{'upper': 1.6, 'up_medium': 0.4}",2021-10-15,2021-12-24,51,0,0.0,0.0,2021-12-24,2022-01-28,25,0,0.0,0.0
14,DCE.b,DCE.j,"{'upper': 1.6, 'up_medium': 0.3}",2021-10-15,2021-12-24,51,0,0.0,0.0,2021-12-24,2022-01-28,25,0,0.0,0.0
15,DCE.b,DCE.j,"{'upper': 1.6, 'up_medium': 0.2}",2021-10-15,2021-12-24,51,0,0.0,0.0,2021-12-24,2022-01-28,25,0,0.0,0.0
