order,futures-1,futures-2,parameter,optimization-start,optimization-end,opt-trading-days,opt-trading-times,profit,max_draw_down,After-cycle-backtest-start,After-cycle-backtest-end,After-cycle-backtest-trading-days,After-cycle-backtest-trading-times,After-cycle-backtest-profit,After-cycle-backtest-max-draw-down
1,DCE.l,CZCE.OI,"{'upper': 1.2, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,54,130350.03700000005,66539.10149999992,2021-12-24,2022-01-28,25,17,104559.96845284218,32208.46299999999
2,DCE.l,CZCE.OI,"{'upper': 1.1, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,60,93521.61150000019,128601.37000000016,2021-12-24,2022-01-28,25,19,125264.23818379271,41675.70550000004
3,DCE.l,CZCE.OI,"{'upper': 1.5, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,25,34097.42149999998,74041.99650000008,2021-12-24,2022-01-28,25,13,35285.27467687205,56974.407000000065
4,DCE.l,CZCE.OI,"{'upper': 1.0, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,64,31483.237500000283,190462.86799999984,2021-12-24,2022-01-28,25,19,109267.96390297698,37897.81800000003
5,DCE.l,CZCE.OI,"{'upper': 1.3, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,50,22781.333000000068,116770.08999999994,2021-12-24,2022-01-28,25,17,87474.62733574999,30805.679499999853
6,DCE.l,CZCE.OI,"{'upper': 0.9, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,68,13936.857000000136,217041.807,2021-12-24,2022-01-28,25,19,99309.57227905818,37897.81800000003
7,DCE.l,CZCE.OI,"{'upper': 1.2, 'up_medium': 0.8}",2021-10-15,2021-12-24,51,54,8607.720999999934,109889.68799999988,2021-12-24,2022-01-28,25,17,176875.33905833334,27948.599999999977
8,DCE.l,CZCE.OI,"{'upper': 1.9, 'up_medium': 0.2}",2021-10-15,2021-12-24,51,0,0.0,0.0,2021-12-24,2022-01-28,25,1,-4040.3969999999954,11309.145000000019
9,DCE.l,CZCE.OI,"{'upper': 1.9, 'up_medium': 0.3}",2021-10-15,2021-12-24,51,0,0.0,0.0,2021-12-24,2022-01-28,25,1,-4040.3969999999954,11309.145000000019
10,DCE.l,CZCE.OI,"{'upper': 1.9, 'up_medium': 0.4}",2021-10-15,2021-12-24,51,0,0.0,0.0,2021-12-24,2022-01-28,25,1,1491.832000000004,6956.400000000023
11,DCE.l,CZCE.OI,"{'upper': 1.9, 'up_medium': 0.5}",2021-10-15,2021-12-24,51,0,0.0,0.0,2021-12-24,2022-01-28,25,1,2031.8139999999873,6956.400000000023
12,DCE.l,CZCE.OI,"{'upper': 1.9, 'up_medium': 0.6}",2021-10-15,2021-12-24,51,0,0.0,0.0,2021-12-24,2022-01-28,25,1,2031.8139999999873,6956.400000000023
13,DCE.l,CZCE.OI,"{'upper': 2.0, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,0,0.0,0.0,2021-12-24,2022-01-28,25,0,0.0,0.0
14,DCE.l,CZCE.OI,"{'upper': 2.0, 'up_medium': 0.6}",2021-10-15,2021-12-24,51,0,0.0,0.0,2021-12-24,2022-01-28,25,0,0.0,0.0
15,DCE.l,CZCE.OI,"{'upper': 1.9, 'up_medium': 0.7}",2021-10-15,2021-12-24,51,0,0.0,0.0,2021-12-24,2022-01-28,25,1,-658.9629999999902,7927.71100000001
