order,futures-1,futures-2,parameter,optimization-start,optimization-end,opt-trading-days,opt-trading-times,profit,max_draw_down,After-cycle-backtest-start,After-cycle-backtest-end,After-cycle-backtest-trading-days,After-cycle-backtest-trading-times,After-cycle-backtest-profit,After-cycle-backtest-max-draw-down
1,SHFE.ag,SHFE.pb,"{'upper': 1.5, 'up_medium': 0.2}",2021-10-15,2021-12-24,51,29,34275.176500000205,51627.756999999874,2021-12-24,2022-01-28,25,14,-25674.31924818022,33449.94499999995
2,SHFE.ag,SHFE.pb,"{'upper': 1.5, 'up_medium': 0.6}",2021-10-15,2021-12-24,51,29,23966.844999999965,42294.62799999985,2021-12-24,2022-01-28,25,14,-48602.90951329897,52269.28850000008
3,SHFE.ag,SHFE.pb,"{'upper': 1.5, 'up_medium': 0.4}",2021-10-15,2021-12-24,51,29,19415.263000000006,43650.76499999991,2021-12-24,2022-01-28,25,14,-37468.8110885261,41540.08649999992
4,SHFE.ag,SHFE.pb,"{'upper': 1.5, 'up_medium': 0.8}",2021-10-15,2021-12-24,51,29,18937.613999999667,46352.453000000096,2021-12-24,2022-01-28,25,14,-49960.8757691859,54170.758499999996
5,SHFE.ag,SHFE.pb,"{'upper': 1.5, 'up_medium': 0.5}",2021-10-15,2021-12-24,51,29,18424.126500000068,46421.41749999981,2021-12-24,2022-01-28,25,14,-48077.85819342737,51549.32549999998
6,SHFE.ag,SHFE.pb,"{'upper': 1.5, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,29,17329.01299999956,52342.45750000025,2021-12-24,2022-01-28,25,14,-45363.346942719174,49992.533000000054
7,SHFE.ag,SHFE.pb,"{'upper': 1.5, 'up_medium': 0.3}",2021-10-15,2021-12-24,51,29,17239.908999999832,50046.42200000014,2021-12-24,2022-01-28,25,14,-28797.879674868254,36066.52749999985
8,SHFE.ag,SHFE.pb,"{'upper': 1.5, 'up_medium': 0.7}",2021-10-15,2021-12-24,51,29,11831.465499999851,46912.22449999995,2021-12-24,2022-01-28,25,14,-50253.80019694435,54330.70449999999
9,SHFE.ag,SHFE.pb,"{'upper': 1.2, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,54,7592.615999999919,47416.33100000001,2021-12-24,2022-01-28,25,20,-68043.86137745023,68512.27849999978
10,SHFE.ag,SHFE.pb,"{'upper': 1.2, 'up_medium': 0.2}",2021-10-15,2021-12-24,51,54,1239.5089999999384,56039.26000000007,2021-12-24,2022-01-28,25,20,-44289.9036811376,62673.893499999685
11,SHFE.ag,SHFE.pb,"{'upper': 1.4, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,39,512.7440000000316,47302.74299999996,2021-12-24,2022-01-28,25,18,-39457.80511992906,51243.114999999874
12,SHFE.ag,SHFE.pb,"{'upper': 2.0, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,0,0.0,0.0,2021-12-24,2022-01-28,25,0,0.0,0.0
13,SHFE.ag,SHFE.pb,"{'upper': 2.0, 'up_medium': 0.2}",2021-10-15,2021-12-24,51,0,0.0,0.0,2021-12-24,2022-01-28,25,0,0.0,0.0
14,SHFE.ag,SHFE.pb,"{'upper': 2.0, 'up_medium': 0.3}",2021-10-15,2021-12-24,51,0,0.0,0.0,2021-12-24,2022-01-28,25,0,0.0,0.0
15,SHFE.ag,SHFE.pb,"{'upper': 2.0, 'up_medium': 0.4}",2021-10-15,2021-12-24,51,0,0.0,0.0,2021-12-24,2022-01-28,25,0,0.0,0.0
