order,futures-1,futures-2,parameter,optimization-start,optimization-end,opt-trading-days,opt-trading-times,profit,max_draw_down,After-cycle-backtest-start,After-cycle-backtest-end,After-cycle-backtest-trading-days,After-cycle-backtest-trading-times,After-cycle-backtest-profit,After-cycle-backtest-max-draw-down
1,SHFE.rb,SHFE.hc,"{'upper': 1.9, 'up_medium': 0.7}",2021-10-15,2021-12-24,51,6,688.3049999999002,5842.058000000077,2021-12-24,2022-01-28,25,1,-2494.960999999962,2494.960999999952
2,SHFE.rb,SHFE.hc,"{'upper': 1.9, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,6,-393.2730000001494,6691.053000000131,2021-12-24,2022-01-28,25,1,-2494.960999999962,2494.960999999952
3,SHFE.rb,SHFE.hc,"{'upper': 1.9, 'up_medium': 0.8}",2021-10-15,2021-12-24,51,6,-453.4050000001399,6751.185000000113,2021-12-24,2022-01-28,25,1,-2494.960999999962,2494.960999999952
4,SHFE.rb,SHFE.hc,"{'upper': 2.0, 'up_medium': 0.6}",2021-10-15,2021-12-24,51,1,-3321.5700000000065,5195.690000000001,2021-12-24,2022-01-28,25,1,-2225.4560000000147,2225.4560000000056
5,SHFE.rb,SHFE.hc,"{'upper': 2.0, 'up_medium': 0.5}",2021-10-15,2021-12-24,51,1,-3321.5700000000065,5195.690000000001,2021-12-24,2022-01-28,25,1,-2225.4560000000147,2225.4560000000056
6,SHFE.rb,SHFE.hc,"{'upper': 2.0, 'up_medium': 0.4}",2021-10-15,2021-12-24,51,1,-3321.5700000000065,5195.690000000001,2021-12-24,2022-01-28,25,1,-2225.4560000000147,2225.4560000000056
7,SHFE.rb,SHFE.hc,"{'upper': 2.0, 'up_medium': 0.3}",2021-10-15,2021-12-24,51,1,-3321.5700000000065,5195.690000000001,2021-12-24,2022-01-28,25,1,-2225.4560000000147,2225.4560000000056
8,SHFE.rb,SHFE.hc,"{'upper': 2.0, 'up_medium': 0.2}",2021-10-15,2021-12-24,51,1,-3321.5700000000065,5195.690000000001,2021-12-24,2022-01-28,25,1,-2225.4560000000147,2225.4560000000056
9,SHFE.rb,SHFE.hc,"{'upper': 2.0, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,1,-3431.297000000022,5305.417000000016,2021-12-24,2022-01-28,25,1,-2494.960999999962,2494.960999999952
10,SHFE.rb,SHFE.hc,"{'upper': 2.0, 'up_medium': 0.8}",2021-10-15,2021-12-24,51,1,-3431.297000000022,5305.417000000016,2021-12-24,2022-01-28,25,1,-2494.960999999962,2494.960999999952
11,SHFE.rb,SHFE.hc,"{'upper': 2.0, 'up_medium': 0.7}",2021-10-15,2021-12-24,51,1,-3431.297000000022,5305.417000000016,2021-12-24,2022-01-28,25,1,-2494.960999999962,2494.960999999952
12,SHFE.rb,SHFE.hc,"{'upper': 1.9, 'up_medium': 0.5}",2021-10-15,2021-12-24,51,6,-15955.578000000205,33322.616000000155,2021-12-24,2022-01-28,25,1,-2225.4560000000147,2225.4560000000056
13,SHFE.rb,SHFE.hc,"{'upper': 1.9, 'up_medium': 0.6}",2021-10-15,2021-12-24,51,6,-21376.047000000075,33423.264000000025,2021-12-24,2022-01-28,25,1,-2225.4560000000147,2225.4560000000056
14,SHFE.rb,SHFE.hc,"{'upper': 1.9, 'up_medium': 0.4}",2021-10-15,2021-12-24,51,6,-24094.74100000003,40966.64199999999,2021-12-24,2022-01-28,25,1,-2225.4560000000147,2225.4560000000056
15,SHFE.rb,SHFE.hc,"{'upper': 1.9, 'up_medium': 0.3}",2021-10-15,2021-12-24,51,6,-24905.187999999955,41006.63000000001,2021-12-24,2022-01-28,25,1,-2225.4560000000147,2225.4560000000056
