order,futures-1,futures-2,parameter,optimization-start,optimization-end,opt-trading-days,opt-trading-times,profit,max_draw_down,After-cycle-backtest-start,After-cycle-backtest-end,After-cycle-backtest-trading-days,After-cycle-backtest-trading-times,After-cycle-backtest-profit,After-cycle-backtest-max-draw-down
1,DCE.jm,CZCE.SM,"{'upper': 1.2, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,24,8353.229999999878,12475.56799999997,2021-12-24,2022-01-28,25,10,-6900.155261749596,8168.352000000072
2,DCE.jm,CZCE.SM,"{'upper': 1.2, 'up_medium': 0.7}",2021-10-15,2021-12-24,51,24,7737.33799999985,11675.640000000014,2021-12-24,2022-01-28,25,10,-8113.947863446891,9158.739000000176
3,DCE.jm,CZCE.SM,"{'upper': 1.1, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,30,6490.014999999727,10853.814000000071,2021-12-24,2022-01-28,25,10,-7569.980964287859,8827.938000000198
4,DCE.jm,CZCE.SM,"{'upper': 1.4, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,15,5849.746000000189,10311.431999999972,2021-12-24,2022-01-28,25,7,-3430.034730109177,5975.833999999915
5,DCE.jm,CZCE.SM,"{'upper': 1.2, 'up_medium': 0.6}",2021-10-15,2021-12-24,51,24,4978.519999999831,11679.428000000014,2021-12-24,2022-01-28,25,10,-6181.868528246649,7489.298000000126
6,DCE.jm,CZCE.SM,"{'upper': 1.3, 'up_medium': 0.7}",2021-10-15,2021-12-24,51,21,4933.038000000156,10671.653999999864,2021-12-24,2022-01-28,25,10,-3873.775999312534,5612.387000000104
7,DCE.jm,CZCE.SM,"{'upper': 1.5, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,12,4914.290000000166,10311.431999999972,2021-12-24,2022-01-28,25,5,218.03198776783051,2910.0989999999874
8,DCE.jm,CZCE.SM,"{'upper': 1.6, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,4,2919.9910000000664,10378.649999999965,2021-12-24,2022-01-28,25,1,-5551.578602080042,5541.511000000057
9,DCE.jm,CZCE.SM,"{'upper': 1.3, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,21,2665.388000000202,10578.802000000025,2021-12-24,2022-01-28,25,10,-3648.6266097460416,5874.2179999999935
10,DCE.jm,CZCE.SM,"{'upper': 1.3, 'up_medium': 0.6}",2021-10-15,2021-12-24,51,21,2414.695000000177,13176.228999999992,2021-12-24,2022-01-28,25,10,-3951.413317555752,6098.550999999978
11,DCE.jm,CZCE.SM,"{'upper': 0.9, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,37,1957.5829999999075,12968.450000000012,2021-12-24,2022-01-28,25,13,-3453.5500710123792,5959.3630000001285
12,DCE.jm,CZCE.SM,"{'upper': 1.1, 'up_medium': 0.8}",2021-10-15,2021-12-24,51,30,333.55999999968856,13100.679000000062,2021-12-24,2022-01-28,25,10,-8574.96776820742,9817.911000000197
13,DCE.jm,CZCE.SM,"{'upper': 2.0, 'up_medium': 0.2}",2021-10-15,2021-12-24,51,0,0.0,0.0,2021-12-24,2022-01-28,25,0,0.0,0.0
14,DCE.jm,CZCE.SM,"{'upper': 2.0, 'up_medium': 0.4}",2021-10-15,2021-12-24,51,0,0.0,0.0,2021-12-24,2022-01-28,25,0,0.0,0.0
15,DCE.jm,CZCE.SM,"{'upper': 2.0, 'up_medium': 0.8}",2021-10-15,2021-12-24,51,0,0.0,0.0,2021-12-24,2022-01-28,25,0,0.0,0.0
