order,futures-1,futures-2,parameter,optimization-start,optimization-end,opt-trading-days,opt-trading-times,profit,max_draw_down
1,DCE.l,CZCE.OI,"{'upper': 1.2, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,54,130350.03700000005,66539.10149999992
2,DCE.l,CZCE.OI,"{'upper': 1.1, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,60,93521.61150000019,128601.37000000016
3,DCE.l,CZCE.OI,"{'upper': 1.5, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,25,34097.42149999998,74041.99650000008
4,DCE.l,CZCE.OI,"{'upper': 1.0, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,64,31483.237500000283,190462.86799999984
5,DCE.l,CZCE.OI,"{'upper': 1.3, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,50,22781.333000000068,116770.08999999994
6,DCE.l,CZCE.OI,"{'upper': 0.9, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,68,13936.857000000136,217041.80699999997
7,DCE.l,CZCE.OI,"{'upper': 1.2, 'up_medium': 0.8}",2021-10-15,2021-12-24,51,54,8607.720999999934,109889.68799999988
8,DCE.l,CZCE.OI,"{'upper': 1.9, 'up_medium': 0.2}",2021-10-15,2021-12-24,51,0,0.0,0.0
9,DCE.l,CZCE.OI,"{'upper': 1.9, 'up_medium': 0.3}",2021-10-15,2021-12-24,51,0,0.0,0.0
10,DCE.l,CZCE.OI,"{'upper': 1.9, 'up_medium': 0.4}",2021-10-15,2021-12-24,51,0,0.0,0.0
11,DCE.l,CZCE.OI,"{'upper': 1.9, 'up_medium': 0.5}",2021-10-15,2021-12-24,51,0,0.0,0.0
12,DCE.l,CZCE.OI,"{'upper': 1.9, 'up_medium': 0.6}",2021-10-15,2021-12-24,51,0,0.0,0.0
13,DCE.l,CZCE.OI,"{'upper': 2.0, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,0,0.0,0.0
14,DCE.l,CZCE.OI,"{'upper': 2.0, 'up_medium': 0.6}",2021-10-15,2021-12-24,51,0,0.0,0.0
15,DCE.l,CZCE.OI,"{'upper': 1.9, 'up_medium': 0.7}",2021-10-15,2021-12-24,51,0,0.0,0.0
