order,parameter,optimization-start,optimization-end,opt-trading-days,opt-trading-times,profit,max_draw_down
1,"{'upper': 0.8, 'up_medium': 0.2}",2021-10-15,2021-12-24,51,39,-25142.520999999586,41938.108999999764
2,"{'upper': 0.8, 'up_medium': 0.3}",2021-10-15,2021-12-24,51,39,-20963.192999999723,37409.805999999866
3,"{'upper': 0.8, 'up_medium': 0.4}",2021-10-15,2021-12-24,51,39,-18317.591999999648,29828.108999999764
4,"{'upper': 0.8, 'up_medium': 0.5}",2021-10-15,2021-12-24,51,39,-12765.580999999836,24890.000999999815
5,"{'upper': 0.8, 'up_medium': 0.6}",2021-10-15,2021-12-24,51,39,-4686.520999999832,20214.769000000088
6,"{'upper': 0.8, 'up_medium': 0.7}",2021-10-15,2021-12-24,51,39,-4008.8789999998985,19275.423000000068
7,"{'upper': 0.8, 'up_medium': 0.8}",2021-10-15,2021-12-24,51,39,-9734.772999999997,19635.003000000084
8,"{'upper': 0.8, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,39,-1000.1110000000813,16675.278000000108
9,"{'upper': 0.9, 'up_medium': 0.2}",2021-10-15,2021-12-24,51,37,-27335.043000000016,38409.103999999876
10,"{'upper': 0.9, 'up_medium': 0.3}",2021-10-15,2021-12-24,51,37,-24116.002999999797,35089.55199999991
11,"{'upper': 0.9, 'up_medium': 0.4}",2021-10-15,2021-12-24,51,37,-16931.879999999644,26553.152999999875
12,"{'upper': 0.9, 'up_medium': 0.5}",2021-10-15,2021-12-24,51,37,-12080.582999999811,24608.58999999985
13,"{'upper': 0.9, 'up_medium': 0.6}",2021-10-15,2021-12-24,51,37,-4153.557999999835,18622.62900000013
14,"{'upper': 0.9, 'up_medium': 0.7}",2021-10-15,2021-12-24,51,37,-915.4129999998984,14802.41900000011
15,"{'upper': 0.9, 'up_medium': 0.8}",2021-10-15,2021-12-24,51,37,-7148.753999999968,15362.283999999985
16,"{'upper': 0.9, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,37,1957.5829999999073,12968.450000000012
17,"{'upper': 1.0, 'up_medium': 0.2}",2021-10-15,2021-12-24,51,30,-30210.548999999664,45762.795999999915
18,"{'upper': 1.0, 'up_medium': 0.3}",2021-10-15,2021-12-24,51,30,-27989.333999999966,44021.85100000008
19,"{'upper': 1.0, 'up_medium': 0.4}",2021-10-15,2021-12-24,51,30,-23360.5849999999,34725.027
20,"{'upper': 1.0, 'up_medium': 0.5}",2021-10-15,2021-12-24,51,30,-19225.700999999928,34797.53699999984
